stage,animal,boss_hp,boss_attack,pool_min,pool_max,mean_ally_dps,two_average_allies_seconds,assumed_success_rate,assumed_pull_seconds,runs,model_median_minutes,model_p10_minutes,model_p90_minutes,model_median_pulls,censored
1,bear,410,15,1,2,8.59,23.9,0.4,18,100,1.88,1.04,3.08,6,0
1,bear,410,15,1,2,8.59,23.9,0.6,18,100,1.31,0.99,2.18,4,0
1,bear,410,15,1,2,8.59,23.9,0.8,18,100,1.06,0.97,1.58,3,0
2,pig,610,15,1,2,8.59,35.5,0.4,18,100,2.66,1.41,4.46,8,0
2,pig,610,15,1,2,8.59,35.5,0.6,18,100,1.68,1.21,2.79,5,0
2,pig,610,15,1,2,8.59,35.5,0.8,18,100,1.44,1.04,2.04,4,0
3,cow,1800,44,1,2,8.59,104.8,0.4,18,100,10.01,6.31,14.64,33,0
3,cow,1800,44,1,2,8.59,104.8,0.6,18,100,5.51,3.23,7.69,18,0
3,cow,1800,44,1,2,8.59,104.8,0.8,18,100,3.55,2.9,4.97,11,0
4,octopus,2200,49,1,3,9.59,114.7,0.4,18,100,13.25,6.7,20.56,44,0
4,octopus,2200,49,1,3,9.59,114.7,0.6,18,100,7.41,4.47,11.24,24,0
4,octopus,2200,49,1,3,9.59,114.7,0.8,18,100,3.95,3.18,5.94,13,0
5,duck,2750,54,1,4,10.69,128.7,0.4,18,100,14.96,8.57,24.15,49,0
5,duck,2750,54,1,4,10.69,128.7,0.6,18,100,6.57,3.85,10.92,21,0
5,duck,2750,54,1,4,10.69,128.7,0.8,18,100,4.3,3.32,6.56,14,0
6,frog,3250,60,1,5,11.88,136.8,0.4,18,100,16.39,9.63,24.73,54,0
6,frog,3250,60,1,5,11.88,136.8,0.6,18,100,7.97,4.59,13.07,26,0
6,frog,3250,60,1,5,11.88,136.8,0.8,18,100,4.59,3.36,6.39,15,0
7,horse,4100,67,1,6,13.31,154,0.4,18,100,15.67,8.32,24.81,52,0
7,horse,4100,67,1,6,13.31,154,0.6,18,100,8.6,4.63,13.97,28,0
7,horse,4100,67,1,6,13.31,154,0.8,18,100,5.27,3.8,7.95,17,0
8,koala,4850,74,1,7,14.94,162.3,0.4,18,100,18.45,11.88,29.11,61,0
8,koala,4850,74,1,7,14.94,162.3,0.6,18,100,9.48,4.8,16.12,31,0
