stage,animal,old_hp,boss_hp,boss_attack,boss_interval,clear_coins,target_minutes,assumed_success_rate,assumed_pull_seconds,runs,median_minutes,p10_minutes,p90_minutes,median_pulls,censored
1,bear,410,410,15,1.6,500,,0.4,18,300,1.93,1.04,3.73,6,0
1,bear,410,410,15,1.6,500,,0.6,18,300,1.34,0.97,2.24,4,0
1,bear,410,410,15,1.6,500,,0.8,18,300,1.06,0.97,1.59,3,0
2,pig,610,610,15,1.55,500,,0.4,18,300,2.54,1.36,4.31,8,0
2,pig,610,610,15,1.55,500,,0.6,18,300,1.76,1.16,2.91,5,0
2,pig,610,610,15,1.55,500,,0.8,18,300,1.37,1.19,1.99,4,0
3,cow,1800,1800,44,1.51,500,,0.4,18,300,9.74,5.64,15.37,32,0
3,cow,1800,1800,44,1.51,500,,0.6,18,300,5.34,3.24,8.31,17,0
3,cow,1800,1800,44,1.51,500,,0.8,18,300,3.54,2.88,5.06,11,0
4,octopus,2200,2950,30,1.5,500,6,0.4,18,300,11.13,5.99,17.64,37,0
4,octopus,2200,2950,30,1.5,500,6,0.6,18,300,5.81,4.02,9.32,19,0
4,octopus,2200,2950,30,1.5,500,6,0.8,18,300,4.23,3.45,5.4,14,0
5,duck,2750,3900,34,1.49,600,6.8,0.4,18,300,12.84,7.16,19.53,42,0
5,duck,2750,3900,34,1.49,600,6.8,0.6,18,300,6.63,4.54,10.92,22,0
5,duck,2750,3900,34,1.49,600,6.8,0.8,18,300,4.91,4.05,6.67,16,0
6,frog,3250,4800,37,1.49,600,7.6,0.4,18,300,14.54,7.97,21.61,48,0
6,frog,3250,4800,37,1.49,600,7.6,0.6,18,300,7.34,4.86,11.93,24,0
6,frog,3250,4800,37,1.49,600,7.6,0.8,18,300,5.3,4.34,7.16,17,0
7,horse,4100,6050,41,1.48,700,8.3,0.4,18,300,15.82,8.55,24.13,52,0
7,horse,4100,6050,41,1.48,700,8.3,0.6,18,300,7.72,5.09,11.84,25,0
7,horse,4100,6050,41,1.48,700,8.3,0.8,18,300,5.51,4.39,7.25,18,0
8,koala,4850,8250,46,1.48,700,8.8,0.4,18,300,16.36,9.63,25.73,54,0
8,koala,4850,8250,46,1.48,700,8.8,0.6,18,300,9.03,5.8,13.81,30,0
8,koala,4850,8250,46,1.48,700,8.8,0.8,18,300,6.48,5.01,8.29,21,0
